CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
244121,11/17/2012,6,4,4,11,1,M,406041110,-89.9806685,43.0130155
244134,11/21/2011,7,5,4,28,2,M,407052820,-89.91220677,43.05674057
244136,11/23/2011,7,4,4,12,4,M,407041240,-89.96107256,43.09264462
244144,11/20/2011,7,5,4,32,4,M,407053240,-89.92231705,43.03509549
244146,11/20/2011,7,5,4,35,4,M,407053540,-89.862839,43.03534218
244207,11/5/2011,7,5,4,33,1,M,407053310,-89.90235176,43.042442
244212,12/21/2010,7,5,4,23,2,M,407052320,-89.87251777,43.07106666
244215,11/28/2010,7,6,4,28,3,M,407062830,-89.79455424,43.04991139
244217,11/20/2010,6,4,4,16,1,M,406041610,-90.02025302,42.99873211
244218,11/25/2010,7,4,4,13,1,M,407041310,-89.96104307,43.08541455
244219,11/19/2011,6,4,4,12,4,M,406041240,-89.96110646,43.0058579
244226,11/17/2012,6,6,4,4,4,M,406060440,-89.78503852,43.02092435
244228,11/18/2012,7,5,4,21,1,M,407052110,-89.90205306,43.07120717
244233,11/19/2010,7,5,4,21,3,M,407052130,-89.91209715,43.0639239
244237,11/23/2010,7,4,4,23,1,M,407042310,-89.980647,43.07129496
244240,11/23/2010,4,5,4,4,2,M,404050420,-89.91166725,42.85333849
244245,11/20/2010,7,4,4,11,4,M,407041140,-89.9806518,43.09285446
244246,11/22/2010,7,5,4,23,1,M,407052310,-89.86255,43.07100172
244260,12/17/2009,2,16,4,5,3,M,402160530,-88.63478532,42.65824989
244482,1/4/2009,4,14,4,20,2,F,404142020,-88.87220666,42.79725603
244830,2/11/2015,12,4,4,3,4,M,412040340,-89.9994563,43.54330108
244994,5/24/2012,6,4,4,6,3,F,406040630,-90.06896557,43.02126101
245095,1/2/2013,7,5,4,17,3,M,407051730,-89.93161059,43.07823456
245245,11/9/2011,8,3,4,28,3,M,408032830,-90.14795665,43.13682374
245258,11/22/2009,5,4,4,16,1,M,405041610,-90.02001684,42.91226086
245268,11/22/2009,7,5,4,11,1,M,407051110,-89.86258719,43.09998102
245301,11/21/2009,7,5,4,29,2,F,407052920,-89.93180332,43.05668441
245307,11/21/2009,7,6,4,14,4,F,407061440,-89.74495631,43.07902253
245351,11/11/2009,3,5,4,1,3,M,403050130,-89.85326661,42.75933006
245357,11/12/2009,7,5,4,6,1,M,407050610,-89.94174992,43.11430556
